title,price,date
RTX 2080 ti Founders Edition,1070.0,2020-08-29 00:00:00
msi gtx 1050 ti,109.0,2020-09-01 00:00:00
Zotac 1050 ti mini,112.7,2020-09-01 00:00:00
GTX 1050ti Graphics card 2gb,79.85,2020-09-08 00:00:00
MSI GTX 1050 Ti 4GB Computer Video Card,104.9,2020-10-12 00:00:00
ASUS GEFORCE GTX 1050Ti,110.05,2020-10-26 00:00:00
ASUS RTX 2080 Ti Dual OC Edition + Bykski Waterblock (NVIDIA GeForce 11GB),788.0,2020-10-28 00:00:00
GeForce GTX 1050ti,87.9,2020-10-31 00:00:00
MSI GeForce GTX 1050 Ti 4GT OC,87.0,2020-11-04 00:00:00
gtx 1050 ti 4gb low profile,126.75,2020-11-05 00:00:00
ZOTAC GeForce GTX 1050 TI OC Edition 4gb Gddr5,98.7,2020-11-09 00:00:00
ZOTAC Geforce GTX 1050Ti 4GB- Mint Condition,100.85,2020-11-11 00:00:00
Rtx 2080 ti,720.0,2020-11-11 00:00:00
MSI GTX1050Ti4GTLP NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Low Profile Graphics Card,138.55,2020-11-12 00:00:00
Geforce gtx 1050ti,100.0,2020-11-13 00:00:00
MSI GeForce GTX 1050 Ti 4GT LP,100.65,2020-11-13 00:00:00
MSI GTX1050Ti4GTLP NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Low Profile Graphics Card,121.55,2020-11-14 00:00:00
MSI GTX 1050 Ti 4GT LP GeForce GTX graphic Card - 4 GB GDDR5 - Low-profie,124.5,2020-11-14 00:00:00
NVIDIA Geforce GTX 1050Ti Graphics Card,102.0,2020-11-15 00:00:00
RTX 2080 ti,1090.99,2020-11-16 00:00:00
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",109.9,2020-11-16 00:00:00
GIGABYTE NVIDIA GeForce GTX 1050 TI 4GB GDDR5 (GVN105TOC4GL) LOW PROFILE,128.84,2020-11-16 00:00:00
ASUS ROG STRIX GeForce RTX 2080TI  ,930.07,2020-11-17 00:00:00
NVIDIA GeForce RTX 2080 TI Founders Edition Great Condition!,985.0,2020-11-17 00:00:00
RTX 2080 ti (OC 1635 MHz),708.85,2020-11-18 00:00:00
Nvidia GTX 1050ti Silent video card KALMX Palit,84.5,2020-11-19 00:00:00
PNY GTX 1050ti 4GB GDDR5,91.6,2020-11-20 00:00:00
EVGA GTX 1050 TI 4gb Gaming Gddr5 (04GP46251KR),102.7,2020-11-21 00:00:00
MSI GTX1050Ti4GTLP NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Low Profile Graphics Card,135.05,2020-11-21 00:00:00
EVGA geforce rtx 2080ti ftw3 ultra,858.7,2020-11-21 00:00:00
1050 ti 4gb MSI,89.9,2020-11-22 00:00:00
GeForce GTX 1050 Ti 4G GDDR5 GPU HDMI,93.7,2020-11-22 00:00:00
Gigabyte GTX 1050 Ti 4GB Low Profile Graphics Card,122.49,2020-11-22 00:00:00
ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G),106.2,2020-11-22 00:00:00
GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GVN105TD54GD),106.2,2020-11-22 00:00:00
Gigabyte Geforce GTX 1050 ti USED in Excellent Condition. 4gb,114.0,2020-11-23 00:00:00
ASUS GeForce GTX 1050Ti 4GB GDDR5 Graphics Card (DUAL-GTX1050Ti-O4G) OC Edition,108.7,2020-11-23 00:00:00
Custom Built Gaming PC - Geforce RTX 1050 ti - AMD processor - 12 GB Ram,447.2,2020-11-24 00:00:00
EVGA GTX 1050 Ti Graphics Card Used ,103.9,2020-11-24 00:00:00
GEFORCE GTX 1050 ti New Sealed MSI,133.4,2020-11-24 00:00:00
NVIDIA GeForce RTX 2080 TI Founders Edition,984.08,2020-11-24 00:00:00
